,result
117,Neutral
252,Positive
482,Positive
120,Neutral
429,Positive
497,Neutral
407,Positive
232,Positive
90,Positive
479,Neutral
383,Positive
293,Negative
389,Neutral
151,Neutral
178,Positive
582,Positive
78,Positive
412,Positive
362,Negative
586,Neutral
455,Positive
452,Neutral
473,Negative
554,Positive
451,Positive
101,Neutral
185,Positive
535,Positive
37,Neutral
477,Positive
8,Neutral
264,Positive
73,Negative
524,Neutral
415,Positive
16,Positive
226,Neutral
85,Neutral
118,Positive
59,Positive
466,Neutral
434,Positive
318,Neutral
438,Positive
7,Positive
82,Positive
160,Negative
590,Negative
511,Positive
184,Neutral
65,Negative
342,Negative
133,Positive
164,Negative
467,Negative
436,Positive
551,Neutral
247,Positive
240,Positive
326,Neutral
311,Positive
54,Positive
388,Neutral
320,Positive
579,Negative
555,Negative
282,Negative
139,Positive
12,Neutral
317,Positive
460,Negative
356,Positive
268,Neutral
461,Negative
228,Positive
92,Neutral
266,Neutral
210,Neutral
309,Neutral
47,Negative
57,Positive
351,Positive
519,Positive
491,Negative
124,Positive
428,Positive
304,Positive
379,Positive
61,Negative
540,Negative
170,Negative
325,Neutral
422,Positive
575,Positive
553,Positive
260,Positive
107,Neutral
155,Neutral
55,Positive
314,Neutral
303,Positive
128,Neutral
370,Negative
559,Negative
64,Negative
110,Positive
589,Positive
206,Neutral
223,Positive
486,Positive
99,Neutral
345,Neutral
286,Negative
337,Positive
205,Positive
307,Neutral
179,Positive
490,Positive
42,Positive
331,Positive
548,Negative
109,Neutral
410,Positive
243,Negative
568,Negative
395,Positive
506,Positive
547,Neutral
480,Negative
380,Neutral
322,Positive
239,Negative
159,Negative
115,Positive
289,Neutral
230,Positive
382,Neutral
225,Neutral
211,Positive
522,Neutral
400,Positive
550,Positive
0,Neutral
333,Negative
269,Negative
377,Positive
545,Neutral
102,Positive
340,Positive
414,Neutral
137,Positive
234,Negative
171,Positive
297,Neutral
369,Positive
52,Neutral
496,Positive
131,Positive
336,Negative
446,Neutral
251,Negative
492,Positive
194,Negative
32,Positive
587,Neutral
474,Positive
104,Positive
313,Positive
355,Positive
487,Neutral
324,Neutral
172,Negative
411,Neutral
523,Neutral
291,Neutral
191,Neutral
347,Neutral
339,Positive
483,Positive
125,Positive
558,Positive
265,Neutral
404,Neutral
418,Neutral
238,Positive
141,Positive
444,Neutral
35,Neutral
435,Negative
79,Positive
216,Neutral
367,Neutral
46,Positive
283,Neutral
207,Positive
464,Neutral
253,Positive
343,Positive
270,Positive
56,Neutral
442,Positive
390,Neutral
256,Positive
28,Neutral
198,Neutral
146,Negative
174,Positive
357,Negative
19,Positive
246,Neutral
450,Positive
288,Positive
173,Positive
70,Neutral
387,Positive
126,Neutral
267,Neutral
23,Positive
147,Neutral
2,Neutral
392,Negative
138,Negative
580,Neutral
299,Neutral
40,Positive
213,Neutral
195,Positive
341,Positive
71,Negative
279,Positive
292,Positive
574,Positive
143,Positive
150,Positive
112,Positive
11,Positive
306,Positive
349,Neutral
165,Positive
88,Negative
403,Positive
93,Neutral
183,Negative
123,Positive
134,Neutral
180,Positive
536,Negative
80,Positive
396,Neutral
66,Positive
45,Negative
190,Neutral
359,Positive
484,Negative
103,Positive
592,Positive
384,Positive
280,Positive
517,Neutral
472,Positive
425,Neutral
346,Positive
509,Positive
564,Neutral
445,Positive
76,Positive
25,Positive
235,Neutral
504,Positive
298,Positive
488,Neutral
556,Negative
386,Neutral
192,Neutral
87,Positive
520,Positive
591,Positive
344,Negative
277,Positive
278,Positive
136,Neutral
177,Positive
67,Neutral
181,Positive
478,Positive
593,Positive
162,Positive
561,Positive
571,Positive
39,Negative
419,Positive
529,Positive
353,Neutral
335,Positive
542,Negative
432,Negative
157,Positive
375,Positive
439,Positive
224,Positive
140,Negative
250,Neutral
376,Positive
332,Neutral
263,Negative
503,Neutral
588,Neutral
156,Positive
364,Neutral
51,Positive
515,Positive
100,Positive
453,Positive
9,Positive
394,Positive
371,Positive
350,Negative
562,Neutral
176,Negative
368,Negative
24,Positive
257,Positive
241,Positive
60,Negative
169,Neutral
108,Positive
401,Positive
365,Neutral
152,Negative
214,Positive
532,Neutral
300,Positive
569,Positive
572,Negative
148,Positive
262,Negative
424,Neutral
62,Positive
236,Positive
426,Positive
416,Positive
200,Neutral
308,Positive
549,Positive
433,Neutral
534,Negative
552,Positive
521,Positive
15,Neutral
18,Neutral
361,Negative
431,Neutral
385,Negative
168,Neutral
296,Positive
409,Positive
31,Positive
127,Neutral
261,Positive
494,Positive
457,Negative
114,Neutral
163,Negative
17,Neutral
96,Positive
274,Positive
209,Positive
6,Positive
372,Positive
188,Neutral
135,Negative
405,Positive
91,Neutral
508,Positive
430,Positive
366,Neutral
458,Positive
543,Neutral
121,Neutral
287,Neutral
495,Neutral
315,Neutral
485,Neutral
30,Positive
302,Positive
145,Positive
294,Positive
563,Neutral
459,Positive
465,Neutral
468,Positive
158,Positive
399,Positive
319,Neutral
53,Negative
312,Neutral
527,Positive
4,Positive
423,Neutral
38,Positive
470,Positive
94,Positive
26,Positive
374,Negative
5,Positive
218,Positive
441,Negative
242,Positive
295,Positive
454,Positive
447,Positive
539,Positive
13,Positive
560,Negative
167,Neutral
531,Negative
373,Positive
537,Positive
516,Neutral
328,Positive
219,Neutral
63,Positive
186,Positive
208,Neutral
201,Positive
305,Neutral
41,Negative
33,Positive
29,Neutral
116,Neutral
475,Positive
113,Positive
585,Positive
199,Positive
86,Positive
272,Positive
229,Positive
398,Neutral
275,Negative
378,Positive
77,Negative
14,Positive
530,Neutral
502,Positive
187,Negative
321,Positive
248,Neutral
144,Negative
573,Positive
352,Positive
327,Positive
440,Positive
570,Positive
222,Positive
27,Neutral
310,Positive
581,Positive
323,Positive
271,Negative
111,Neutral
533,Positive
290,Neutral
402,Positive
348,Positive
421,Positive
566,Negative
189,Positive
437,Negative
22,Neutral
197,Positive
69,Neutral
43,Positive
301,Positive
182,Neutral
49,Positive
