,text,neg,neu,pos,compound
0,A more memorable connection is one that respects consumer privacy and unfolds in the right moment. Our audience targeting and contextual solutions do just that.,0.0,0.846,0.154,0.4588
1,A more memorable connection is one that respects consumer privacy and unfolds in the right moment. Our audience targeting and contextual solutions do just that.,0.0,0.846,0.154,0.7184
2,"RT @OkeyMor57: @jay_scherrer @muskQu0tes @elonmusk Elon Musk is challenging Donald Trump to the title of the most shameless liar. 
Apple do…",0.081,0.796,0.123,0.0846
3,"@jay_scherrer @muskQu0tes @elonmusk Elon Musk is challenging Donald Trump to the title of the most shameless liar. 
Apple does not have a search engine. It exerts control over its echo system to protect its consumer privacy and security.",0.102,0.766,0.132,-0.0881
4,"@DanKnightMMA Dear Dan - you seem like an engaged Canadian but have not read the Bill. Please do, then explain how modernizing our consumer privacy laws is bad for Canadians. Thanks. Here you go. #BillC11 #cdnpoli 

https://t.co/ZF1ifvzDb3",0.081,0.769,0.151,0.6461
5,"Check out our latest article, What Does the Consumer Privacy Protection Act Mean for Microsoft Customers, and learn the steps your organization needs to take to prepare for the proposed CPPA:
https://t.co/IiXenDPOLq",0.067,0.807,0.126,0.6461
6,U.S. State Consumer Privacy Laws – a short 5-min training course that discusses the similarities and differences between the new state privacy laws being passed since 2018 https://t.co/1yefNorRtd @DanielSolove,0.059,0.831,0.11,0.6461
7,@elonmusk @DavidSacks Apple isn’t the worst with consumer privacy but their actions with Twitter regarding Elons takeover are indicative of activists in control at Apple.,0.075,0.828,0.097,-0.3338
8,RT @kuriharan: Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data…,0.081,0.829,0.09,-0.6565
9,@CarloDiLorenzo1 We need consumer privacy protection in the US. These companies buy and sell our data! California has a California Consumer Privacy Protection law. This needs to be Federal law.,0.073,0.845,0.082,-0.6871
10,"Confidently is a Consumer privacy subscription service, helping people take back control of their personal data by deleting it from companies that shouldn't have it, and telling other companies not to sell it
https://t.co/VwnNAPvc4N",0.064,0.842,0.094,0.435
11,Read our latest Blog! https://t.co/kUT3Qb3uwN,0.063,0.843,0.093,0.4876
12,RT @InfoSum: How are you protecting consumer privacy in 2023? Have your say in the Data Privacy Index! We'd love to understand how you view…,0.058,0.84,0.102,0.8822
13,"@DrRichardPitre @lexfridman Thats precisely what they’re doing! Appl has a much better track record with consumer privacy than Tesla, and I’m an owner of both.",0.054,0.84,0.106,0.9371
14,RT @kuriharan: Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data…,0.059,0.84,0.101,0.9081
15,"“Payment Systems &amp; Services Act 2019 - directs payment service providers to adhere to consumer protection relating to consumer privacy, etc.” - Dr. Kwaku Agyeman-Budu, Dean, Faculty of Law, GIMPA",0.055,0.85,0.094,0.9081
16,"The California Consumer Privacy Act requires businesses to notify consumers about security breaches involving their data. It allows them to provide additional info about the breach if they want to.
They must notify consumers of breaches within 45 days- https://t.co/LHXX1qcQCB https://t.co/2xsw8Ss7Y7",0.05,0.854,0.095,0.9427
17,"With @elonmusk throwing this tantrum because he somehow didn’t know about the App Store taking their cut (which I’ve never made an app/done  a second of research and still knew that soooooo???)

Friendly reminder that @Apple has done a fantastic job fighting for consumer privacy",0.064,0.833,0.104,0.9504
18,"Cisco’s 2022 Consumer Privacy Survey: data transparency is most important regarding personal data.OC is building  a trusted economy using embedded privacy &amp; helps orgs collect data ethically through informed consent &amp; continuously enforce sharing rules
  
https://t.co/TxsA4w1zw0",0.059,0.818,0.123,0.9862
19,"@elonmusk here is a poll you should post. 
How many would buy a phone you produce, if you produce a phone with no tracking of any kind, with consumer privacy number one priority?",0.06,0.815,0.126,0.9885
20,RT @kuriharan: Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data…,0.063,0.815,0.122,0.9865
21,RT @kuriharan: Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data…,0.066,0.816,0.118,0.9839
22,Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data #privacy,0.068,0.817,0.115,0.9805
23,"""The Commission should embrace this opportunity to establish obvious necessary baseline requirements that protect and advance consumer privacy.” @AGRobBonta @FTC https://t.co/Is2OmQTE03",0.065,0.809,0.126,0.9899
24,Consumer privacy predictions—how marketers will be affected in 2023 https://t.co/fGp3RBCvvO https://t.co/cmNrF1lIc4,0.067,0.809,0.124,0.9892
25,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.065,0.812,0.123,0.9901
26,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.063,0.815,0.122,0.9909
27,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.061,0.818,0.121,0.9916
28,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.059,0.82,0.12,0.9923
29,"The #UtahConsumerPrivacyAct becomes effective on December 31, 2023, and shares similarities with the #GDPR and other US State #PrivacyLaws. But Utah does add some unique aspects for organizations to consider. Here are some things to start thinking about: https://t.co/jon3aTdDer https://t.co/rXOY2z8iGG",0.056,0.822,0.122,0.9942
30,How are you protecting consumer privacy in 2023? Have your say in the Data Privacy Index! We'd love to understand how you view the privacy landscape and how your organization is preparing for the privacy-first era. Survey only takes a few mins! https://t.co/Eps43aDBSt https://t.co/BRFNBq2pVu,0.053,0.825,0.122,0.9955
31,"RT @GRAUSAFL: Consumer Privacy in Retail from @DeloitteUS: Trust-focused, consumer-centric retailers (Leaders) and process-focused, tactica…",0.052,0.827,0.12,0.9955
32,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.051,0.829,0.119,0.9958
33,RT @BLaw: President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practica…,0.05,0.831,0.119,0.996
34,President Biden’s top adviser on internet policy said members of Congress are “regularly” asking his agency to give them practical advice on how to protect consumer privacy. https://t.co/9yIIUTLUBi,0.048,0.831,0.121,0.9966
35,"RT @NEST_Ecosystem: Have you ever heard of self-sovereign distributed identity?🤔
In this article, we will be talking about #SSDID in #web3…",0.047,0.834,0.118,0.9966
36,Beyond third-party cookies: Community and consumer #privacy in the #metaverse. https://t.co/gGxjg4WQ4g via @VentureBeat #Data #brands #digitalexperience,0.047,0.837,0.116,0.9966
37,RT @montezumachavez: In re Google RTB Consumer Privacy Litigation. See https://t.co/TNUgkQPfg7 https://t.co/BwUJ3MvFfb,0.048,0.837,0.115,0.9964
38,"RT @adamscochran: 2/3

There is nothing more important than consumer privacy, especially when it comes to your financial data - you have a…",0.047,0.838,0.115,0.9966
39,"RT @GRAUSAFL: Consumer Privacy in Retail from @DeloitteUS: Trust-focused, consumer-centric retailers (Leaders) and process-focused, tactica…",0.046,0.84,0.113,0.9966
40,"Consumer Privacy in Retail from @DeloitteUS: Trust-focused, consumer-centric retailers (Leaders) and process-focused, tactical retailers (Laggards) have very different approaches to privacy. https://t.co/iFletcxlnW @antgrasso rt @lindagrass0 #DataPrivacy #Retail #Privacy https://t.co/jb3Po9Tnvu",0.045,0.844,0.11,0.9966
41,RT @montezumachavez: In re Google RTB Consumer Privacy Litigation. See https://t.co/TNUgkQPfg7 https://t.co/BwUJ3MvFfb,0.047,0.844,0.109,0.9965
42,"We are now entering a new era of consumer internet with is centered around two main issues, consumer privacy and digital consciousness. The social media ""free in exchange for data model"" will no longer be the assumed default way used by consumers and companies to engage online.",0.047,0.842,0.111,0.997
