"","word","freq"
"tik","tik",166
"tok","tok",162
"and","and",140
"brand","brand",90
"she","she",90
"wearing","wearing",90
"posted","posted",88
"viral","viral",88
"://t.co/xiuittpwgv","://t.co/xiuittpwgv",87
"@skyliej_:","@skyliej_:",87
"mom","mom",87
"went","went",87
"🤩","🤩",87
"the","the",53
"this","this",31
"instagram","instagram",27
"have","have",27
"facebook","facebook",26
"that","that",22
"group,","group,",19
"for","for",17
"you","you",13
"with","with",13
"people","people",11
"like","like",11
"twitter","twitter",11
"are","are",10
"got","got",10
"whatsapp","whatsapp",10
"draw","draw",10
"prize","prize",10
"follow","follow",9
"not","not",9
"they","they",9
"youtube","youtube",9
"begging","begging",8
"girl","girl",8
"how","how",8
"all","all",8
"just","just",8
"someone","someone",8
"from","from",7
"out","out",7
"enter","enter",7
"can","can",7
"i’m","i’m",7
"get","get",7
"&amp;","&amp;",7
"esn","esn",7
"mazi","mazi",7
"radio","radio",7
"signal","signal",7
"what","what",6
"it’s","it’s",6
"tweet","tweet",6
"bout","bout",6
"its","its",6
"jus","jus",6
"being","being",6
"videos","videos",6
"twitter,","twitter,",6
"now","now",6
"your","your",6
"don’t","don’t",6
"•","•",6
"then","then",6
"our","our",6
"don't","don't",6
"free","free",5
"music","music",5
"accounts","accounts",5
"make","make",5
"it's","it's",5
"reach","reach",5
"phone","phone",5
"has","has",5
"#win","#win",5
"@bekouk","@bekouk",5
"@hughesdirect:","@hughesdirect:",5
"entered","entered",5
"multi-platform","multi-platform",5
"oven!","oven!",5
"was","was",5
"who","who",5
"start","start",5
"need","need",5
"over","over",5
"fast","fast",5
"but","but",5
"last","last",5
"@chinasanworu","@chinasanworu",5
"group","group",5
"@seanburkeshow:","@seanburkeshow:",4
"learn","learn",4
"means.","means.",4
"pov","pov",4
"more","more",4
"making","making",4
"fans","fans",4
"time","time",4
"one","one",4
"said","said",4
"made","made",4
"@lilmogh:","@lilmogh:",4
"claim","claim",4
"dey","dey",4
"everybro","everybro",4
"ownership","ownership",4
"😂😂😂😂😂","😂😂😂😂😂",4
"been","been",4
"new","new",4
"shit","shit",4
"comment","comment",4
"forget","forget",4
"feel","feel",4
"had","had",4
"#bbn","#bbn",4
"gain","gain",4
"let's","let's",4
"matter","matter",4
"small","small",4
"wirh","wirh",4
"❕rt","❕rt",4
"engagement","engagement",4
"her","her",4
"win","win",3
"@10kdunkin:","@10kdunkin:",3
"dat","dat",3
"isn’t","isn’t",3
"period","period",3
"signed","signed",3
"stamped","stamped",3
"talent","talent",3
"uhhh","uhhh",3
"views","views",3
"via","via",3
"little","little",3
"heartfelt","heartfelt",3
"wait","wait",3
"another","another",3
"that’s","that’s",3
"@facebook","@facebook",3
"@instagram","@instagram",3
"a…","a…",3
"support","support",3
"will","will",3
"without","without",3
"their","their",3
"first","first",3
"account","account",3
"://t.co/swvmva2qkm","://t.co/swvmva2qkm",3
"hello??!)?","hello??!)?",3
"likes??)!)?","likes??)!)?",3
"million","million",3
"cause","cause",3
"seeing","seeing",3
"these","these",3
"saw","saw",3
"after","after",3
"aeroperfect","aeroperfect",3
"on…","on…",3
"friends","friends",3
"post","post",3
"trend","trend",3
"there's","there's",3
"share","share",3
"content","content",3
"t…","t…",3
"everything","everything",3
"#youtube","#youtube",3
"them","them",3
"please","please",3
"'meta","'meta",3
"150","150",3
"://t.co/onyem3hpmi","://t.co/onyem3hpmi",3
"@cre8tivemarcoms:","@cre8tivemarcoms:",3
"countries.","countries.",3
"news:","news:",3
"reels","reels",3
"rolls","rolls",3
"@_jan00","@_jan00",3
"@aln_m6","@aln_m6",3
"@ap92x:","@ap92x:",3
"✔️🥦,","✔️🥦,",3
"help","help",3
"let","let",3
"recover","recover",3
"single","single",3
"about","about",3
"i'm","i'm",3
"highiest","highiest",3
"search","search",3
"instagram,","instagram,",3
"➯","➯",3
"buy”","buy”",3
"“mass","“mass",3
"#giveaway","#giveaway",2
"@cascadeicewater:","@cascadeicewater:",2
"alert!","alert!",2
"cascade","cascade",2
"fall,","fall,",2
"feelin’","feelin’",2
"ice,","ice,",2
"it!","it!",2
"officially","officially",2
"reply","reply",2
"with…","with…",2
"“like”","“like”",2
"meta","meta",2
"really","really",2
"when","when",2
"awwwwww,","awwwwww,",2
"drops","drops",2
"groups.","groups.",2
"hermes","hermes",2
"message","message",2
"!!!","!!!",2
"#barefoot6packgiveaway","#barefoot6packgiveaway",2
"@barefootcampus:","@barefootcampus:",2
"enter:","enter:",2
"winner…","winner…",2
"⚡follow","⚡follow",2
"⚡like","⚡like",2
"⚡retweet","⚡retweet",2
"other","other",2
"give","give",2
"official","official",2
"we’re","we’re",2
"lmao","lmao",2
"there","there",2
"because","because",2
"going","going",2
"crying","crying",2
"red","red",2
"⁠","⁠",2
"💥","💥",2
"@kyylareneee:","@kyylareneee:",2
"26.09.22","26.09.22",2
"ᯤ","ᯤ",2
"🪄","🪄",2
"tiktok","tiktok",2
"would","would",2
"you’re","you’re",2
"2022","2022",2
"could","could",2
"many","many",2
"times","times",2
"wish","wish",2
"latest","latest",2
"reality","reality",2
"world","world",2
"coming","coming",2
"4am.","4am.",2
"@zssbecker:","@zssbecker:",2
"absolutely","absolutely",2
"done.","done.",2
"dumb","dumb",2
"getti…","getti…",2
"gym.","gym.",2
"monday.","monday.",2
"shit.","shit.",2
"stopping","stopping",2
"#alone","#alone",2
"://t.co/uptcohijl9","://t.co/uptcohijl9",2
"@stevebrodt:","@stevebrodt:",2
"link","link",2
"phras…","phras…",2
"tonight🚨","tonight🚨",2
"weeks","weeks",2
"👇🏻👇🏻","👇🏻👇🏻",2
"🚨episode","🚨episode",2
"money","money",2
"scrolling","scrolling",2
"you're","you're",2
"into","into",2
"should","should",2
"#memes","#memes",2
"#viral","#viral",2
"two","two",2
"winners","winners",2
"using","using",2
"#gaming","#gaming",2
"fa…","fa…",2
"faceb…","faceb…",2
"community","community",2
"f…","f…",2
"tiktok,","tiktok,",2
"unbox","unbox",2
"@basim_basim_bas:","@basim_basim_bas:",2
"dangerous","dangerous",2
"fandom!","fandom!",2
"happening.","happening.",2
"leave","leave",2
"moving","moving",2
"to,","to,",2
"tumbl…","tumbl…",2
"his","his",2
"#marketin…","#marketin…",2
"#socialmedia","#socialmedia",2
"@marketineando:","@marketineando:",2
"@baa_wa…","@baa_wa…",2
"@nzpti_","@nzpti_",2
"audio","audio",2
"funny","funny",2
"thanks","thanks",2
"everyone","everyone",2
"she’s","she’s",2
"@umuchiukwu:","@umuchiukwu:",2
"biafra…","biafra…",2
"hour","hour",2
"fun","fun",2
"entertainment","entertainment",2
"@omotebiafra:","@omotebiafra:",2
"chinasa","chinasa",2
"group,have","group,have",2
"group.","group.",2
"nworu","nworu",2
"action","action",2
"spray","spray",2
"where","where",2
"etc","etc",2
"hacked","hacked",2
"media","media",2
"social","social",2
"@njimezichidi:","@njimezichidi:",2
"biaf…","biaf…",2
"://t.co/nf11xsvhvw","://t.co/nf11xsvhvw",2
"@joegallinews:","@joegallinews:",2
"al…","al…",2
"episode!","episode!",2
"miss","miss",2
"nwa","nwa",2
"subscribe","subscribe",2
"sure","sure",2
"today!","today!",2
"📺","📺",2
"://t.co/dyujj25m2v","://t.co/dyujj25m2v",2
"keepit100boxing","keepit100boxing",2
"tbe","tbe",2
"://t.co/4kq5c5zdpi","://t.co/4kq5c5zdpi",2
"@teechereaa:","@teechereaa:",2
"favorite","favorite",2
"right","right",2
"🥵","🥵",2
"🌐","🌐",2
"know","know",2
"editing","editing",2
"😭😭😭","😭😭😭",2
"while","while",2
"4.84%","4.84%",2
"6.86%","6.86%",2
"most","most",2
"week","week",2
"week,","week,",2
"life","life",2
"much","much",2
