,text,result,scores
0,RT @relyanceai: Action by California Attorney General Shows Enforcement is More Than Cosmetic - Learn how the first public enforcement acti…,Neutral,100.0
1,Join @IDology and @AiteNovarica on October 12th to hear key insights and learn about the latest consumer trends from IDology’s Annual Consumer Digital Identity Survey. Register today: https://t.co/6uqGo5xFwn #customerexperience #digitalidentity #privacy https://t.co/rcrrvxkyP3,Positive,6.6
2,RT @relyanceai: Action by California Attorney General Shows Enforcement is More Than Cosmetic - Learn how the first public enforcement acti…,Neutral,100.0
3,"Action by California Attorney General Shows Enforcement is More Than Cosmetic - Learn how the first public enforcement action under the California Consumer Privacy Act (CCPA) informs privacy best practices going forward.

https://t.co/U9hzBnN103

#dataprivacy #ccpa #privacy https://t.co/cVt2dOZc6v",Positive,10.7
4,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
5,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
6,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
7,Sounds like comprehensive consumer data privacy is off the table in Massachusetts - until 2023 at least: https://t.co/sCPpjytTo9 https://t.co/cINQNQooWd,Positive,22.0
8,"California Consumer Privacy Act's Employee and B2B Exemptions to Expire on January 1, 2023 https://t.co/AyEUWEBNJu #CCPA via @JDSupra @KattenLaw",Neutral,100.0
9,@boofla @Supercomputing @awscloud Obviously @NSAGov will be a consumer of these systems. Probably best if you can find get client side holomorphic encodings so the client has more privacy on exactly what they are crunching.,Positive,11.3
10,"On April 11, 2022, three amendments to the CDPA were passed. The three bills add a new exemption to the right to delete, modify the law’s definition of nonprofits, and repeals the consumer privacy fund provision. Learn more about these amendments here. https://t.co/B3GkUMbUo8",Neutral,100.0
11,"Facebook agrees to settle Cambridge Analytica data privacy lawsuit
The four-year-old case alleged that the company had violated consumer privacy laws by sharing users’ personal data with third parties https://t.co/BfyJw4VQGo",Positive,19.4
12,RT @MoFoLLP: How can #tech companies take steps to enhance #privacy for #reproductiverights? Tip 3: Do not identify pregnant people through…,Neutral,100.0
13,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
14,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
15,RT @MoFoLLP: How can #tech companies take steps to enhance #privacy for #reproductiverights? Tip 3: Do not identify pregnant people through…,Neutral,100.0
16,"Webinar – Is Consumer Choice the Right Way to Protect Privacy? (Thurs, Sept 29 at 2 PM ET) Register (free): https://t.co/1s2qP6zKth Speakers: @DanielSolove @ChristineELyon @troysauro",Positive,10.6
17,Build a Consumer Privacy-Aware Culture Through Training: How do you get to a culture where every employee prioritizes preserving customers’ privacy? Start with training. Continue reading... https://t.co/qpRJrgZiqC #customerexperience #privacy,Neutral,100.0
18,Build a Consumer Privacy-Aware Culture Through Training https://t.co/MCMzNlwYBk,Neutral,100.0
19,"[Despite all the grand gestures and claims (""we value your privacy""), few publishers dare to walk the talk - kudos to Karthic Bala @RedVentures (""Protecting consumer data should be at the core of everything a company does - Anything else is secondary”)] https://t.co/eV0hLjKESW https://t.co/ZFpgCRvWj2",Positive,18.6
20,Retweet selected by the https://t.co/kmOCQTFIJb team |  A Shared Responsibility: Protecting Consumer Health Privacy in an Increasingly Connected World #world_news https://t.co/4gpkl78GPc https://t.co/0Ik4BB1a7o,Positive,11.2
21,The Bi-Partisan DELETE Act Is Pro-Consumer And Pro-Competition. (Forbes) #Data #Privacy https://t.co/DtnTQm6deO https://t.co/3ziLvaUJaP,Neutral,100.0
22,Massachusetts Legislature Punts on Privacy for Consumer Data - National Law Review https://t.co/UjZQligq9r https://t.co/OJMwc03LRf,Neutral,100.0
23,"RT @siliconlabs: Privacy is the top consumer concern in the #smarthome space, and #Matter builds in defenses against a wide variety of thre…",Positive,14.9
24,".@USChamber's Sean Heather: ""AICOA has raised major concerns across diverse industry groups and the political spectrum regarding its impact on issues such as national security, privacy, consumer choice and benefits, and America's economic competitiveness."" https://t.co/EJj8AX963h",Positive,13.2
25,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
26,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
27,"On data breaches and impact on consumer data privacy. https://t.co/4wJzo1flFU
@rootconf @HasPrivacy",Neutral,100.0
28,"RT @rootconf: #Rootconf is hosting a Twitter spaces session on Monday, 26 September from 7 to 8 pm, on the impact of data breaches on consu…",Neutral,100.0
29,"Some timely advice from the #FTC on #identitytheft #darkweb #privacy 

Did you get an email saying your personal info is for sale on the dark web? https://t.co/9C7EeAbfv9",Neutral,100.0
30,"- decimation of consumer and workers rights
- removal on safeguards to stop reckess behaviour in the financial industries
- annihilation of data privacy
- a gutting of the welfare state and public services.

A dystopian vision.",Positive,12.7
31,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
32,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
33,"RT @deanhager: Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations…",Positive,34.6
34,"Welcome @ZecOps to the @JamfSoftware family! 

We are thrilled for the opportunity to work together to provide organizations with greater mobile security while delivering consumer simple work technology that protects personal privacy.
https://t.co/S0Ut8C5KZw",Positive,37.5
