"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SeanBurkeShow: I am begging BEGGING the people of Tik Tok to learn what POV means.",FALSE,0,NA,2022-09-26 21:56:31,FALSE,NA,"1574518304827269120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inkyturtley",129,TRUE,FALSE,NA,NA
"2","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:30,FALSE,NA,"1574518302042226688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Omgschlim",915,TRUE,FALSE,NA,NA
"3","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:25,FALSE,NA,"1574518278550085633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BecominGreat",915,TRUE,FALSE,NA,NA
"4","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:24,FALSE,NA,"1574518272766054400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__Jvys__",915,TRUE,FALSE,NA,NA
"5","RT @CascadeIceWater: #GIVEAWAY ALERT! It’s officially fall, and we are feelin’ it! To win free Cascade Ice, “like” this tweet + reply with…",FALSE,0,NA,2022-09-26 21:56:23,FALSE,NA,"1574518269335117824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","heathermahley",101,TRUE,FALSE,NA,NA
"6","RT @10KDunkin: The period uhhh girl from tik tok jus got signed , dat jus stamped music isn’t bout talent no more its bout tik tok views",FALSE,0,NA,2022-09-26 21:56:21,FALSE,NA,"1574518262997532672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gasspaxkshawty",67,TRUE,FALSE,NA,NA
"7","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:15,FALSE,NA,"1574518235608801282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prieannasmom",915,TRUE,FALSE,NA,NA
"8","Meta makes it easier to switch between Facebook and Instagram accounts - CNBC https://t.co/PzAY7N4dBr via @GoogleNews    
😆",FALSE,0,NA,2022-09-26 21:56:14,FALSE,NA,"1574518233251475456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OTheMiracle",0,FALSE,FALSE,NA,NA
"9","RT @longliveswift22: Imagine being on Tik tok making the stupidest theory videos that make NO fucking sense",FALSE,0,NA,2022-09-26 21:56:13,FALSE,NA,"1574518228604313629",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wasabiboys",1,TRUE,FALSE,NA,NA
"10","RT @alOakhwan: It's like when women buy a really ugly pug and dress it up in gаy little outfits for tik tok",FALSE,0,NA,2022-09-26 21:56:12,FALSE,NA,"1574518226142330881",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CrumenLux",47,TRUE,FALSE,NA,NA
"11","RT @HermesIyele: Awwwwww, Hermes drops a heartfelt message to the fans on WhatsApp groups.

Twitter, Facebook and Instagram people wait for…",FALSE,0,NA,2022-09-26 21:56:12,FALSE,NA,"1574518223462096902",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HenryMart7",2,TRUE,FALSE,NA,NA
"12","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:11,FALSE,NA,"1574518221788807168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IamAnnyRobert",915,TRUE,FALSE,NA,NA
"13","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:10,FALSE,NA,"1574518216130322432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samsaraCyr",915,TRUE,FALSE,NA,NA
"14","RT @BarefootCampus: It's time for another #barefoot6packgiveaway !!!
How to enter: 
⚡Follow us
⚡Like this tweet
⚡Retweet this tweet

Winner…",FALSE,0,NA,2022-09-26 21:56:09,FALSE,NA,"1574518212212891648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimberlyTougas",171,TRUE,FALSE,NA,NA
"15","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:07,FALSE,NA,"1574518204730335233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anikaaa_87",915,TRUE,FALSE,NA,NA
"16","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:04,FALSE,NA,"1574518191174426626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","donfendicci",915,TRUE,FALSE,NA,NA
"17","BEST CENTER ON 2K23 - !Twitter !Instagram !TikTok !YouTube 

https://t.co/Oo0LhH5JAK https://t.co/glzKQcSaWM",FALSE,0,NA,2022-09-26 21:56:03,FALSE,NA,"1574518188246720521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1ouanity",0,FALSE,FALSE,NA,NA
"18","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:56:03,FALSE,NA,"1574518187772837889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnnaDanBIB",915,TRUE,FALSE,NA,NA
"19","My #socials for people to reach out to me and #follow my other #content. This contains my #Twitter, #Instagram,… https://t.co/v0Coov8B1n",FALSE,0,NA,2022-09-26 21:56:03,TRUE,NA,"1574518187420426245",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheWinterEnby",0,FALSE,FALSE,NA,NA
"20","@ShiLLin_ViLLian Your being a @barkmeta now on Tik Tok 🤦‍♂️",FALSE,0,"ShiLLin_ViLLian",2022-09-26 21:56:01,FALSE,"1574515074936754177","1574518179275104258","1064982684060057606","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiger_slam",0,FALSE,FALSE,NA,NA
"21","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:59,FALSE,NA,"1574518168038563850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lisa_matiwana",915,TRUE,FALSE,NA,NA
"22","Awwwwww, Hermes drops a heartfelt message to the fans on WhatsApp groups.

Twitter, Facebook and Instagram people w… https://t.co/HqvUWqyfPE",FALSE,9,NA,2022-09-26 21:55:58,TRUE,NA,"1574518165995937802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HermesIyele",2,FALSE,FALSE,NA,NA
"23","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:57,FALSE,NA,"1574518160816230400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","princessomaaa",915,TRUE,FALSE,NA,NA
"24","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:56,FALSE,NA,"1574518155719892995",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sapphairis",915,TRUE,FALSE,NA,NA
"25","@lastSonOfCy Wait nvm one lady on tik tok said so",FALSE,0,"somah_ski",2022-09-26 21:55:55,FALSE,"1574517943181881344","1574518153173815301","957693698803892225","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","somah_ski",0,FALSE,FALSE,NA,NA
"26","RT @FarrisFlagg: Watching #TheJenniferHudsonShow on @FOXLA! Weekdays at 12pm! #ImWithJHud! Follow @JHudShow on @Twitter, @instagram, @faceb…",FALSE,0,NA,2022-09-26 21:55:51,FALSE,NA,"1574518135239372800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StanAretha",2,TRUE,FALSE,NA,NA
"27","RT @bengaljims_BTR: We’re partnering w @goldstarchili, Official Chili of the #Bengals, to give 2 tix to TNF vs #Dolphins 

TO ENTER follow…",FALSE,0,NA,2022-09-26 21:55:50,FALSE,NA,"1574518133683019790",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rhino_sheath",24,TRUE,FALSE,NA,NA
"28","@_danyellb Tik Tok showed me enough for the day, that’s why I don’t be on there lmao",FALSE,0,"_danyellb",2022-09-26 21:55:44,FALSE,"1574517782359658496","1574518108739358720","613796953","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FamousTripp",0,FALSE,FALSE,NA,NA
"29","@kay_t12 @MetaNewsroom @facebook @instagram Support services will only take you round in circles without offering a… https://t.co/T8r01UEDou",FALSE,0,"kay_t12",2022-09-26 21:55:43,TRUE,"1574515428507889664","1574518103899541505","250435656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","quinice8",0,FALSE,FALSE,NA,NA
"30","Contacting their support is totally pointless, because they are not going to reply. You can inbox us now we’re fast… https://t.co/Gs9biFqRrw",FALSE,1,NA,2022-09-26 21:55:43,TRUE,NA,"1574518101114249327",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","point2_hack",0,FALSE,FALSE,NA,NA
"31","@eclipsethis2003 First time I have seen a tik tok of a chick with red hair crying and it made sense.

This is the s… https://t.co/hU4qglOuVK",FALSE,0,"eclipsethis2003",2022-09-26 21:55:38,TRUE,"1574505684988731392","1574518083376631808","252165928","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_lane81",0,FALSE,FALSE,NA,NA
"32","Meet #TheTeamBehindYourTeam 😎⁠
⁠
💥 Hi! I am DJ, Account Manager at Creatively Disruptive. 💥
⁠
Building a strong rel… https://t.co/1fm3jZSRwu",FALSE,0,NA,2022-09-26 21:55:38,TRUE,NA,"1574518081489145856",NA,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>","Creatively_D",0,FALSE,FALSE,NA,NA
"33","RT @kyylareneee: Not this girl on tik tok wearing my brand and it got a million likes??)!)?  Hello??!)? https://t.co/SwVMVA2qKm",FALSE,0,NA,2022-09-26 21:55:37,FALSE,NA,"1574518077416689664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_YvngJinsengg",3,TRUE,FALSE,NA,NA
"34","@ChuckCallesto @PeacefulConserv Reparations? Really? Cause I’m seeing all these tik tok videos lately of black grou… https://t.co/kYmoZ2BflE",FALSE,0,"ChuckCallesto",2022-09-26 21:55:34,TRUE,"1574493953394720789","1574518064871342080","4765364386","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aTmCrickett",0,FALSE,FALSE,NA,NA
"35","RT @Knwupdate: ᯤ 》IG : lipsmagazine • 26.09.22

🪄 https://t.co/9sYjeCcELw

ᯤ 》FB : LIPS MAGAZINE • 26.09.22

🪄 https://t.co/1U6r8EhIAb

💬 P…",FALSE,0,NA,2022-09-26 21:55:34,FALSE,NA,"1574518064577912832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1nXab8lRsx99UMm",158,TRUE,FALSE,NA,NA
"36","@HuaweiZA FACEBOOK 
TIKTOK 
INSTAGRAM 
TWITTER 
WHATSAPP 
#HUAWEI #HUAWEIAppGallery 
My 5 favourites on my HUAWEI A… https://t.co/xuSzkDkEu2",FALSE,0,"HuaweiZA",2022-09-26 21:55:34,TRUE,"1574338686166130688","1574518063587856384","392783094","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rekha30462613",0,FALSE,FALSE,NA,NA
"37","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:25,FALSE,NA,"1574518027407745040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PropertyOfHobi_",915,TRUE,FALSE,NA,NA
"38","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:24,FALSE,NA,"1574518021049425920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Onyinyechi1520",915,TRUE,FALSE,NA,NA
"39","RT @SkylieJ_: I posted my mom wearing my brand on tik tok and she went viral 🤩 https://t.co/XiuiTtPWGV",FALSE,0,NA,2022-09-26 21:55:21,FALSE,NA,"1574518012123701259",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_essy",915,TRUE,FALSE,NA,NA
"40","RT @LilMoGh: My phone reach Facebook and instagram all
Everybro dey claim ownership 😂😂😂😂😂",FALSE,0,NA,2022-09-26 21:55:21,FALSE,NA,"1574518008508469248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Walkerage1",146,TRUE,FALSE,NA,NA
